step,action,action_id,bid_t,ask_t,bid_t1,ask_t1,model_bid,model_ask,n_working_bids,n_working_asks,trade_px_t1,trade_aggr_t1,trade_size_t1,trade_filled_buy_qty,trade_filled_sell_qty,inventory,cash,pnl,mtm_t1,delta_mtm,damp_mtm,realized_this_step,inv_penalty,inv_reduction_reward,near_miss_bonus,no_quote_inventory_penalty,no_quote_streak_penalty,no_quote_streak,normalized_reward,reward
1,QUOTE_ASK,1,36.16,36.16,36.15,36.16,36.14,36.16,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,NO_QUOTE,3,36.15,36.16,36.15,36.16,36.14,36.16,0,0,36.15,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
3,NO_QUOTE,3,36.15,36.16,36.14,36.16,36.14,36.16,0,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
4,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.15,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0,-0.15
5,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.14,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4,0.0,-0.2
6,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.14,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5,-0.001,-0.25
7,QUOTE_BID,0,36.14,36.16,36.14,36.16,36.14,36.16,1,0,36.13,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
8,QUOTE_BID,0,36.14,36.16,36.14,36.16,36.14,36.16,1,0,36.13,ASK,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
9,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.13,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
10,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.12,ASK,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2,0.0,-0.1
11,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.12,ASK,100.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3,0.0,-0.15
12,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.12,ASK,200.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4,0.0,-0.2
13,QUOTE_BID,0,36.14,36.16,36.14,36.16,36.14,36.16,1,0,36.12,ASK,400.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
14,QUOTE_BOTH,2,36.14,36.16,36.14,36.16,36.14,36.16,1,1,36.11,ASK,500.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
15,NO_QUOTE,3,36.14,36.16,36.14,36.16,36.14,36.16,0,0,36.11,ASK,300.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1,0.0,-0.05
16,QUOTE_BOTH,2,36.14,36.16,36.14,36.16,36.14,36.16,1,1,36.11,ASK,900.0,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
17,QUOTE_BID,0,36.14,36.16,36.11,36.16,36.14,36.16,1,0,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,0.0,0.01
18,QUOTE_ASK,1,36.11,36.16,36.11,36.15,36.12,36.14,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
19,QUOTE_ASK,1,36.11,36.15,36.12,36.15,36.11,36.13,0,1,,,,0,0,0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,0.0,0.01
