symbol,rpt_seq,network_received_time,event_type,md_entry_px,md_entry_size,aggressor,en_s_px_1,en_b_px_1
PETR4,1775062,2025-03-28 13:03:57.356498197+00:00,book,,,,37.660000000000004,37.65
PETR4,1775071,2025-03-28 13:03:57.357033350+00:00,book,,,,37.67,37.65
PETR4,1775076,2025-03-28 13:03:57.357710935+00:00,book,,,,37.67,37.660000000000004
PETR4,1775195,2025-03-28 13:03:57.365031041+00:00,trade,37.660000000000004,200.0,4.0,37.67,37.660000000000004
PETR4,1775202,2025-03-28 13:03:57.368320584+00:00,trade,37.67,100.0,4.0,37.67,37.660000000000004
PETR4,1775213,2025-03-28 13:03:57.373225331+00:00,trade,37.67,200.0,4.0,37.67,37.660000000000004
PETR4,1775349,2025-03-28 13:03:57.435170367+00:00,trade,37.65,200.0,3.0,37.67,37.660000000000004
PETR4,1775352,2025-03-28 13:03:57.435760789+00:00,trade,37.65,300.0,3.0,37.67,37.660000000000004
PETR4,1775353,2025-03-28 13:03:57.435760789+00:00,book,,,,37.67,37.64
PETR4,1775355,2025-03-28 13:03:57.435848899+00:00,book,,,,37.660000000000004,37.64
PETR4,1775372,2025-03-28 13:03:57.464661695+00:00,trade,37.660000000000004,100.0,3.0,37.660000000000004,37.64
PETR4,1775399,2025-03-28 13:03:57.499549069+00:00,trade,37.660000000000004,100.0,4.0,37.660000000000004,37.64
PETR4,1775470,2025-03-28 13:03:57.522353187+00:00,trade,37.65,100.0,3.0,37.660000000000004,37.64
PETR4,1775483,2025-03-28 13:03:57.535858050+00:00,trade,37.660000000000004,400.0,4.0,37.660000000000004,37.64
PETR4,1775493,2025-03-28 13:03:57.553273320+00:00,trade,37.67,400.0,4.0,37.660000000000004,37.64
PETR4,1775510,2025-03-28 13:03:57.561513580+00:00,book,,,,37.65,37.64
PETR4,1775571,2025-03-28 13:03:57.615076542+00:00,trade,37.660000000000004,300.0,4.0,37.65,37.64
PETR4,1775633,2025-03-28 13:03:57.748985432+00:00,trade,37.660000000000004,500.0,4.0,37.65,37.64
PETR4,1775769,2025-03-28 13:03:59.642199330+00:00,trade,37.64,100.0,3.0,37.65,37.64
PETR4,1775777,2025-03-28 13:03:59.642306872+00:00,book,,,,37.660000000000004,37.63
PETR4,1775782,2025-03-28 13:03:59.642906785+00:00,book,,,,37.65,37.63
PETR4,1775807,2025-03-28 13:04:01.360397011+00:00,trade,37.64,400.0,3.0,37.65,37.63
PETR4,1775808,2025-03-28 13:04:01.360397011+00:00,trade,37.64,1000.0,3.0,37.65,37.63
PETR4,1775818,2025-03-28 13:04:01.634204134+00:00,trade,37.64,500.0,3.0,37.65,37.63
PETR4,1775819,2025-03-28 13:04:01.634204134+00:00,trade,37.64,1200.0,3.0,37.65,37.63
PETR4,1775825,2025-03-28 13:04:01.634456746+00:00,trade,37.64,300.0,3.0,37.65,37.63
PETR4,1775834,2025-03-28 13:04:01.768348552+00:00,trade,37.63,100.0,3.0,37.65,37.63
PETR4,1775836,2025-03-28 13:04:01.768348552+00:00,book,,,,37.65,37.62
PETR4,1775842,2025-03-28 13:04:01.768813483+00:00,book,,,,37.64,37.62
PETR4,1775859,2025-03-28 13:04:01.871255331+00:00,book,,,,37.64,37.61
PETR4,1775883,2025-03-28 13:04:02.707234524+00:00,trade,37.62,400.0,3.0,37.64,37.61
PETR4,1775889,2025-03-28 13:04:02.711378835+00:00,trade,37.62,100.0,3.0,37.64,37.61
PETR4,1775893,2025-03-28 13:04:02.717259273+00:00,trade,37.61,100.0,3.0,37.64,37.61
PETR4,1775898,2025-03-28 13:04:02.724828497+00:00,book,,,,37.63,37.61
PETR4,1775907,2025-03-28 13:04:02.880626522+00:00,trade,37.63,100.0,4.0,37.63,37.61
PETR4,1775948,2025-03-28 13:04:03.578632794+00:00,trade,37.61,900.0,3.0,37.63,37.61
PETR4,1775950,2025-03-28 13:04:03.578632794+00:00,book,,,,37.63,37.6
PETR4,1775953,2025-03-28 13:04:03.578776173+00:00,book,,,,37.62,37.6
PETR4,1775964,2025-03-28 13:04:03.602907076+00:00,trade,37.62,100.0,4.0,37.62,37.6
PETR4,1775974,2025-03-28 13:04:03.618973903+00:00,trade,37.62,400.0,4.0,37.62,37.6
PETR4,1775975,2025-03-28 13:04:03.618973903+00:00,trade,37.62,300.0,4.0,37.62,37.6
PETR4,1776051,2025-03-28 13:04:07.527559847+00:00,book,,,,37.63,37.62
PETR4,1776076,2025-03-28 13:04:08.173925772+00:00,trade,37.63,200.0,4.0,37.63,37.62
PETR4,1776082,2025-03-28 13:04:08.176169179+00:00,book,,,,37.64,37.63
PETR4,1776130,2025-03-28 13:04:09.602016956+00:00,trade,37.64,200.0,4.0,37.64,37.63
PETR4,1776155,2025-03-28 13:04:09.955475695+00:00,trade,37.64,100.0,4.0,37.64,37.63
PETR4,1776251,2025-03-28 13:04:15.765331797+00:00,trade,37.61,400.0,3.0,37.64,37.63
PETR4,1776252,2025-03-28 13:04:15.765331797+00:00,trade,37.61,2700.0,3.0,37.64,37.63
PETR4,1776253,2025-03-28 13:04:15.765331797+00:00,trade,37.61,700.0,3.0,37.64,37.63
PETR4,1776255,2025-03-28 13:04:15.765331797+00:00,trade,37.6,200.0,3.0,37.64,37.63
PETR4,1776258,2025-03-28 13:04:15.765331797+00:00,trade,37.6,500.0,3.0,37.64,37.63
PETR4,1776260,2025-03-28 13:04:15.765331797+00:00,trade,37.6,100.0,3.0,37.64,37.63
